S/N,review_text,category
28,"Using them is 70% hit, 30% miss. Orders get messed up and they can take time to resolve them but they do seem to care about fixing things. I'd give them 3.5 stars if I could bc I've had the wrong orders delivered and they've taken soooo long (q month) to resolve things but in the end, yes , they did get fixed.",delivery_shipping
29,"I'm not getting help regarding my order. it's showed it was shipped, but it's changed overnight",delivery_shipping
30,"Takealot is cheaper for most items, but the delivery time is to long.",delivery_shipping
31,"I ordered food since 3:40,its 5:16 and I haven't seen anything. No63 Adekunle banjo avenue magodo, you guys are not doing well honestly",delivery_shipping
33,this time kilimall you let down.when I ordered I wrote door delivery because I was busy but you referring me to pickup station.time of shipping to deliver very poor service kilimall,delivery_shipping
34,Good app apart from when i mark my location the app moves the location 100 meters or so which means the delivery guys go to the wrong location.,delivery_shipping
35,I don't like the fact that I always pay courier for return items.,refund_return
36,This app is trash I ordered something and paid in cash at end the fee was added to my bolt balance and now it's saying -185cedis,billing
37,I dont understand why we can't buy more than 40 items from the Van option... what's the point of it if it still takes the number of items as the motorbike?,general_inquiry
39,Takealot is ghosting me after I bought a tablet from them and it only worked for 10 days. I returned the tablet and asked for a refund but they don't want to assist me. Never buy a phone from them.,refund_return
40,it's okay just be careful and read the item description very well,general_inquiry
41,Usually works but on multiple occasions it could not find a courier for my order and I had to wait for over an hour. I had to cancel an order because I needed to leave and could not receive the order even if they found the courier after like an hour and a half.,delivery_shipping
42,"I order jollof rice with white rice and stew, only for my food to be delivered and there was no stew for the rice. This is my first time ordering too, from molabat. and all the numbers weve called aren't going to file a report, shameful.",customer_service
43,"Temu literally does everything dark aggressive marketing that you are not supposed to do but the prices are so much cheaper than anywhere else that people still come back. Like the limited time offers, fake free money, fake winning wheel. And yet I’m still here too. But it’s the exact same nail stickers on amazon I would just pay 10 times more for no reason",general_inquiry
44,I made an order and payed. The payment resulted in error so I pressed again the pay button. However in the end my order ended up being submitted twice and so was the payment.,billing
45,"it's a great app very friendly price and easy to use, but since I purchased my new phone from the app, I haven't been able to log in and I have other products in mind to purchase, please I really need help logging back in",account_access
46,"they are poor quality, and sometimes they send the wrong package and it takes ages to prove them for you to get a refund , really annoying , I don't recommend , I put two stars because there were some things that were ok, and good, but it doesn't compare with the bad",refund_return
47,my order is turning 31 days now without being delivered,delivery_shipping
48,"I really wish you would let us choose our own Checkers store to shop from. The one your app defaults me to, is pathetic and NEVER has stock of everything I order. It is becoming most frustrating and make me want to delete this app AGAIN",general_inquiry
49,my mother has been getting her items in package broken and she complains that the workers who send the package break it on purpose,product_defect
51,lots of fake items on here,product_defect
52,dont expect refunds to stay they absorb them,refund_return
53,they take way to long to deliver anything anymore i shouldn't have to wait 2 to 3 weeks for my package.,delivery_shipping
54,I'm rating one star Because of two problems I've been facing For long time yet not resolved 1 when you placed an order of pay on delivery then you decide to pay maybe what makes you placed it as pay on delivery has been solved unfortunately you can't pay until the day of collecting your order 2 one can not cancel order withing the app after placing even if it's made by mistake,subscription_cancel
55,Disappointed I ordered an item on Sunday that came Monday after 5pm I'm a premium user which makes it even more disappointed told of that my product came not even working now I got to wait 2-3 days for refund which is terrible as they can collect they product early and quickly but can't bring your stuff as a premium user early I bought another product yesterday and same thing today receiving after 5pm don't fall for the premium subscription they lie and let you down or bring things broken,product_defect
56,delivery is so late,delivery_shipping
57,"Pays to read the reviews, also when they say you have won money or grt a credit back to your account this is also fake. What they really mean is spend $10 and you get close to winning 33cents away, pay another $10 and then it says 33 cents. They make you pay more and have more parcels coming in the mail but get you no closer to that allusive $260. Such a scam. Face creams however are light and sink into the skin within a few.seconds.",fraud_unauthorized
58,waiting longer than 60min for 3 orders in the past 2 days madnes,delivery_shipping
59,5 stars for content but.......ordered package...1 item missing..told customer services and they said that I was lying.....and all items were sent... when I asked for evidence of their checking...agent stopped replying...sent three further messages and no reply... I won't use again.....I dont like being called a liar.....,customer_service
60,use to be cheaper prices but its just ross prices atp😭🙏,general_inquiry
61,You order a specific colour of an item online only to receive a different colour of the item.,product_defect
62,"Paid for delivery via the app. Order cancelled by courier, not delivered, refund refused. Service not provided.",refund_return
63,I have ordered merchandise in the past and have never received any of it. This Temu site is a hoax retailer. never knowing I am Temu or a scam site. NO MORE ORDERS FOR TEMU!!!!!,delivery_shipping
65,"I bought Smart watch under the buy get one sales but it was A DECEPTIVE SALE, It was buy one get one free but to my dissatisfaction, on receiving the package it was one inside instead of two as stated in the sales advert. But calling customer care to complain about this, instead of remedying the deception rather I was told I should have picked two of the item which was not the instruction on the sale. It is tagged ""but one, get one"" not ""pick two, pay for one"". Am disappointed at Jumia on this",product_defect
66,"Temu is a scam,they said I would get the things for free if I finish the quizand send it to 3 people in my contact number,but as soon as I finished the quiz and I send they like to 3 people in my contact number.They just didn't budge at all.And it's also a scam",fraud_unauthorized
67,efficient service but the quality of fruits and vegetables selected for you is sub standard. I've had fruits that have already spoiled delivered to me. there's a cost to convenience,product_defect
68,"This App is great except when it comes to delivering the fresh bread. They deliver bread that is expiring on the day of delivery or the day after. It is extremely frustrating. I have complained multiple times however, the issue persists. If I ever choose the services of another shop, it will be because of the inability to receive fresh bread.",product_defect
69,Worse then ehrana we had. The app is pretty but somehow odd. Also if we have to usi it could you PLEASE add time of order and maybe confirmation from the restaurant that the order was processed. ty,general_inquiry
70,"i dont trust this shameful 😔 app,its been 25 days since I return my order and request for a refund, until now no responses and no refund of my money ,I dont recommend this app for anyone, thier return policy is wack ,never useful ..useless e-commerce platform in south Africa 🇿🇦",refund_return
71,my first experience with jumia was since 2017 my order was delivered in less than a week. my second order was dis year now almost ten days no update,delivery_shipping
72,expired items get delivered all the time. no quality control,product_defect
73,"Hard to get in touch with customer service or when you do they don't respond, the ""freebies"" are never free and if you do the spin the wheel and invite someone to get all the ""free"" items it doesn't work. Also let's not begin on the environmental impact of shein and how all employees are treated.",customer_service
74,It's a cool shopping 🛍vendor but the issue with me is that it is soo slow in delivery like it takes decades to get a product you order which mat affect your plans and projects....try to work on that guys #improveyourderiverytime,delivery_shipping
75,"I received a t-shirt with the Disney characters and their signatures, when I was suppose to receive ""reading is my favorite sport"" shirt. and everything i try to return it, it won't let me get past taking a picture. the screen just goes white. the purse i got was great. and I also ordered a Marissa hargitay shirt and the shirt is cheaply made. her face looks cartoonish. not impressed",refund_return
76,Terribly show and had to attempt payment on several cards before I could make purchase.,billing
77,"Immediately after placing an order I wanted to cancel the order and the bolt app simply didn't provide me any way of doing this. It was very frustrating. There was a chat bot where I could ask for 'help', and I did, but didn't get any response from it. At the same time it kept giving instructions to the caterer, courier, ... which was frustrating because i placed the wrong order.",subscription_cancel
78,"it's a good app I won't lie, but I hate apps that forces you to update them in order to access them",account_access
79,"love 6050,use it 8 times a month. app is fine, GPS timing is terrible , never accurate , says it's delivered when groceries haven't even left store yet. pingo the delivery people cannot read instructions and the problem in this solution.",delivery_shipping
80,Very weak refund policy. My was soaked in the juice during delivery. Still talking to the support about my refund. Also the Bolt delivery drivers have dirty backpacks. I will not order again. Not only did not get a refund yet. But I got transferred to other team for a stupid menu of meat with fries and juice.,refund_return
81,"would have given a zero if I had the chance, I bought 3 THREE!!! different power banks from you guys and every one of them is a FAKE, in the ""bar"" power bank, only 2 bars work out of 4 and as of the ""percentage"" power bank only half of it works, I have returned and switched but still the same issues . I don't like dropping hate reviews but this was wayyyy too much for me, the last one I bought ""percentage power bank"" takes 2 DAYS PLUS MORE to be fully charged yet only the 100/75 works .do better",product_defect
82,Your prices are too high,general_inquiry
83,"Sometimes the product advertised is not what you get when you place an order, and a refund takes too long.",refund_return
84,for some weird reason I never get everything I ordered.,delivery_shipping
85,"Order is suppose to arrive on 25 of April now it changes to 2nd of May,Why do you give a fixed date then?",delivery_shipping
86,I don't like when pops free items then start taking the customer to other items that must buy then end up not getting anything from the free items,fraud_unauthorized
87,"It used to be such that you could get a prime subscription, enjoy free deliveries, and pay negligible fees per order. Now some of my favourite places don't offer prime benefits, service fees are climbing, and there's a weather charge even when it's F-ing sunny outside! There hasn't been a drop of rain since morning from here to Timbuktu yet you're trying to squeeze that out too! Cancelling my subscription honestly what a joke.",subscription_cancel
88,lies about free gifts to get u to buy more. shipping is per item not whole pkg,billing
89,you say free delivery and charged me $5.00 plus tax. which then made my total double,billing
90,"the app is great. however the drivers cannot or do not read delivery instructions which is very frustrating as this service is supposed to make our lives easier , not more complicated .",delivery_shipping
91,product description and quantity for the price statement is not well stated.,general_inquiry
93,"I have used jumia for many years and I found the platform good until jumia begins to get involved in some scam activities. I paid to order a phone holder which was confirmed. and I was surprised that I haven't received my order the expected date. I logged in to the app to get my order info. to my surprise, they have cancelled my order without any prior notifications to that, and they have no support team in their app or website to report the issue to. I am stuck in the app now. it's a shame",customer_service
94,"I hate this food app. Everytime i order there is an issue. Either from the food places or the app. You wait forever for your food cause they do not have enough couriers, then you get cold food. Not once since i ordered on this app did i get food that was even a little warm it is always freaken cold. You need to improve on your delivery time. This is things that goes into our bodies and preferably at a good temp not ice cold!!!",delivery_shipping
95,"Kindly share are REAL customer service no that I can communicate and get results honestly , I can't get hold of anyone , why are ur services so bad ?",customer_service
96,Fix your delivery tracking,delivery_shipping
97,"Lately I’ve experienced several cases where items show as available on the app, but aren’t delivered because they’re actually out of stock.",delivery_shipping
99,My order got delivered to the wrong adress today. The app showed different addresses on my device and on the delivery guys device. Really inconvenient!,delivery_shipping
100,Dealing with customer service is useless!!,customer_service
101,"was easy to get app , but then you dont get half of your order",delivery_shipping
102,AFTER A REVIEW GOT REMOVE IM REMOVING THE APP I GOT SCAMMED AND TAKEALOT PROTECTS THE SELLER NOT THE BUYER . HOPE TEMU AND ALL THAT OTHER PLATFRORMS DESTROY YOU . GFY,fraud_unauthorized
103,"I don't like the minimum order requirements needing to be met before some items will ship, while other items ship with no problem. especially for how much time is spent looking for just the right deal.",general_inquiry
104,"Disgusting customer service, where FRAUD is openly encouraged and tolerated! I was ripped-off by a seller, for which TEMU did NOTHING! Will not shop there again.",customer_service
105,"Amazing app, extremely poor delivery times. Order at midday and your order can only be delivered at 5 in the afternoon. Not what was advertised and certainly not worth paying R99 for.",delivery_shipping
106,I LOVE TEMU. I DON'T LIKE HOW THEY SEEM TO GIFT YOU THINGS THAN MAKE YOU PAY A FEE TO RECEIVE IT...KINDA DISHONEST AND IRRATIONAL,billing
107,I tried to order krushers from KFC and I didn't get the order so that was a scam,delivery_shipping
109,lot of hidden fees they dont show upfront,billing
110,even you order comes mini size,product_defect
111,Drivers are complaining not getting tips. Please upgrade the up so that we can tip before delivery and after delivery as well. Also a driver might be slow on arrival that he deserves 2stars and a tip. Let us tip all our drivers Thank you,general_inquiry
112,"I am extremely disappointed, I ordered on the 25th of this month opted for the same delivery package even now my order status is stuck on 'not yet shipped'.",delivery_shipping
113,"Muy mala experiencia no vale para nada este servicio de glovo, hice mi pedido a las 20:00 y en final a las 22:50 me llega la notificación de pedido cancelado y han dejado en situación que ya no puedo ir a comprar a ningun sitio todas las tiendas estan cerradas y se me han quedado los niños sin cenar. ahora mismo estoy de los nervios y con ganas de llorar. No lo recomiendo para nada este servicio y nunca mas utilizaré esta app ni lo recomendaré a nadie",delivery_shipping
114,"they don't pick up return items, unlike what's indicated. their customer support is not even trying to help. i don't recommend ordering from shein.",refund_return
115,"placed an order for my mother, and the oder arrived at her house incomplete. This is now the second time this has happened, and the app doesn't help in notification that you will get a refund or that there is no stock available. I mean, at least some communication would have been nice.",delivery_shipping
116,"600 uah order destroyed, got 75 uah refund. 305 uah order destroyed, got full refund. Mixed feelings. All else is good enough, but they can't deliver orders intact, be careful.",delivery_shipping
117,I love the clothes usually good quality but I hate the fact that ordering price is cheaper than in the basket! Not fair and very misleading,billing
118,This App has a lot of scam than the true item you want especially when I ordered Power Bank and phone I hate this App for giving people what's not Good.,product_defect
119,"it's okay, packages have showed up damaged. they usually try to make it right. delivery takes a long time.",delivery_shipping
120,"you need to make allowances for missed deliveries, e.g. a second attempt to deliver!even if at a minimal fee. Now my order is canceled and my money is not back in my account forcing me to reorder and pay an additional delivery fee. my money was taken immediately after the order but I have to either reorder and pay extra or wait for my money back in 3 days time. That is grossly unfair!",refund_return
121,Why are there so many items out of stock yet not indicated out if stock on your app? 😞,general_inquiry
122,I feel like they joke me around with you buy this an get this. but when u do they usually say buy some more to unlock after more purchases. I feel cheated. an its money we are talking about.,billing
123,"very terrible, the customer care don't respond to calls. jumia is a scam ordered a product and yet to get it.",delivery_shipping
125,Improve on your delivery services.also your customer care services are slow interms of giving a feedback,delivery_shipping
126,"The delivery fee is too much, even going for pickup you have to pay delivery fee, the delivery fee could even be used to purchase another item, please do something about it",billing
127,I suggest in future the person shopping the items need to apply their mind in terms of pricing.....i bought biltong of 116.00 but instead they bring me a very small packet of R32 rand why not buy 2/3 packets that will add up to what was paid instead of refunding without aking for alternative....mxm,refund_return
128,order for not arrived multiple times. I could not contempt support in Poland,delivery_shipping
129,"I've been using Takealot for some time now and it has been great. Reason I gave it 2 stars is because of the recent order that had defective items and I wanted to return, but can't because the order is still showing it's out for delivery whereas I received the order about two weeks ago. Support doesn't help, all they advise is that I should wait for the app to update that the order is delivered. This is frustrating as I had to use the product this past weekend and it was not working.",refund_return
130,"Where is the pizza lab store in this app? It accidentally came up with some 30% discount the other day and the vanished again - the Glovo app says store not found ?!? Other than that okay I guess, but this is just WEIRD. I even wrote to Glovo support and they told me Pizza lab was indeed in the app, but it's not!!! 😩😩😩😩😩",customer_service
131,"Hello, i'd like to tell my problem with this app. After checking out, my app stuck on processing order. I would love to hear solution for my problem from you. Thank you",account_access
132,"ive put off ordering from here for quite a while as the vouchers coupons and spins, just to browse at something was really off putting for me . finally took the plunge and made a order using BLC and just by ignoring all the discounts.",general_inquiry
133,very bad service come to early always an issue. then my order gets canceled and I have to wait 3-5 business days. got voice recording where I mentioned my delivery is scheduled for 2:30 not 13:46. yet I get order canceled,delivery_shipping
134,Julia have items but delivery fee is high,billing
135,this hair is not what I ordered the front part of the wig is 4 inches long I order a 30 inches wig.,product_defect
136,ok for the money ! darker than they look on line . but will make use of them,general_inquiry
137,Worst customer support experience ever. Designed to discourage customer complaints.,customer_service
138,"my nephew that lives with me bought an electric bike from Temu and it wouldn't work and when he requested it be replaced, all they did was send more parts, but nothing fitted/worked and refuse any/all messages. I think they're think they are the worst SCAMMERS!",warranty_repair
139,We live close to the restaurant and the app multiple times makes the driver do an earlier order nowhere near. It added a 30 minute wait time to my delivery. Do not use this app. They did not even offer a refund. Just a complete disrespect of users.,delivery_shipping
140,"Great app, good prices. But must add the tip section for drivers. Often I pay with card and no cash at home",general_inquiry
141,last months waiting time of grosery delivery can several hours,delivery_shipping
142,service was terrible only received item the following Morning,delivery_shipping
143,Orders taking too long,delivery_shipping
144,I got the net in good condition and package,general_inquiry
146,horrible the last 3 orders was messed up not delivered broken items 3 hours after order still no deliceru,delivery_shipping
147,take the money limit away ... i dont have around 50 dollars to spend nor 20 I miss the 5 dollar limit hey temu things are already hard enough now a days dont make them harder for me. what if I only want one item I cant buy many items just to get that one I dont have that kind of money... ill find a different app maybe that's fine ...,billing
148,"Temu's AI system is not good, poor customer service if you need any questions answered. Badly packed items often arrive broken.",product_defect
149,"The emotional distress caused by this app and it's drivers is not worth it , if the drivers are not taking your numbers for personal use after delivering they're trying to force you to get your delivery at 11 pm as woman in South Africa 🚮",delivery_shipping
150,"The order was 'delivered' after 2 and a half hours after, and I didn't even receive it. They didn't rang the interphone like it said in the note, nobody answered the support system and I got charged on the bolt balance. SCAM...",delivery_shipping
151,"there are constantly stock shortages at the Pta North facility. it is very frustrating ordering all the items for burgers just to find a bag with no patties or burger sauce in. this is but to mention a few experiences. either the stock management is very poor, or the theft is high. at the end of the day, me as consumers are paying the price. please get your management structure in order, and your staff committed to better service. regards.",delivery_shipping
152,Your standard has dropped. 60 minutes use to be 60minutes but now you place an order at 9 and get it it 2 with some items missing. I'm disappointed,delivery_shipping
153,"Too many scam pop ups claiming you get credits/cash/coupons you never get. It's fine otherwise and I've pretty much gotten everything I ordered, some things aren't as good as the pictures but you get what you pay for and you can't really beat the prices. Just wish the stupid pop-ups would stop. Super annoying and sometimes I just leave the app because of them when I probably would have actually bought something if they weren't there.",fraud_unauthorized
154,"Be careful of these promotions!!! Temu can't even keep track and they keep sending out double sometimes triple orders, with amounts being charged to my ACCOUNT!!! IT'S NEVERENDING!! You can't get anyone on the phone, plus they don't tell you your items come from 7 different Countries, packed with very toxic chemicals i am a allergic too, then once two weeks ago was bitten by a spider where my entire face blew up!! I have been trying end all my orders, you all should as well!!",billing
155,"I just received an item price adjustment for 2 items I purchased, the total amount was one penny each. Now, I have a Whopping credit balance of 2 cents on my future Orders?! Oh, what Generosity that the Greedy Provides...",billing
156,"I have a problem when buying goods on sale, for instance, bought chocolates (4 for R99) , then it shows on the app that it is out, even my back-up option. I am then charged for the price per item. It is not my problem, if it shows on the app there are stock and then when I get my goods, it is out.",billing
157,Your app allows orders to be submitted without a valid address. Terrible experience with my latest order,delivery_shipping
158,The worst company ever. Steals deliveries and never refunds their orders. Criminals that don't respond and are incredibly rude. Worst experience ever,refund_return
159,there are quality items on jumia,general_inquiry
160,Payments are sometimes declined for one reason or another.,billing
161,Kilimall to improve your services the best thing is you can offer even good and one to pay after delivery like how jumia does my view,general_inquiry
163,It should not be cash on delivery lot of thieves out there,general_inquiry
165,"I really love ordering from Shein, but the problem is that Iraq isn't listed in the app. This is really frustrating, especially when I want to order a lot of things, sometimes reaching 300 or 500 (Iraqi dinars), but there's no delivery option to Iraq. There are some stores on Instagram, and we have to order from them, but even Instagram delivery is expensive. For example, they add an extra 38 or 40 (Iraqi dinars) to the delivery fee, not to mention the shipping cost, which is sometimes 10 to 20",delivery_shipping
166,I like the app.Customer service sucks they gave me R50 for messing up my delivery .then when they could not delivery they refunded me with a R50 short .so they just messed with me.,refund_return
167,"I recommend to use Wolt or something other. BOLT FOOD is an absolute disaster. Couriers do whatever they want without any accountability constantly. They’ll pick up your order from a nearby restaurant, then disappear for an hour. By the time it arrives, the food is cold and ruined. Customer service is just as bad — you’re stuck chatting with a bot that wastes your time and nerves, and you never get a real solution.",delivery_shipping
168,"its the third time im ordering something and there's just problem with my order. what the bolt food support does? they just say : sorry for your bad experience,hope next time will be better. basically,just solve the problem yourself. never ordering through them again. if you want a good experience,just order through the restaurant itself or through somewhere else, otherwise - enjoy cold food, robotic customer support and waiting to being replied by 3 different people saying same thing.",customer_service
169,"Because of their ""scammish type behavior,"" It feels they are the one that have left 11 voicemails & 4 texts in a single day about tax debt(which I have none), approval of loans(I have not applied for)& real estate, i have not inquired about. could be wrong, but it's still a misleading & too good to be true & that cheap. Prductize Size scaming, advertising prices then switching quantities. Its like how many scams tactics can you squeeze in an app. So why would they not try on phone or text.?",fraud_unauthorized
170,Very disappointing- app charges significantly more than the menu price if you order in store,billing
171,worst delivery company ever,delivery_shipping
172,poor customer service and sometimes they take long to do delivery,delivery_shipping
173,"I am very disappointed with Glovo: - received expired products without getting a refund - the courier never has the right change, even though when placing the order we are required to input the amount we will be giving the courier, for this purpose - the stores never use bio-degradable bags, even though I requested it - most times the products are not even in stock - the Customer Service Reps are more interested in closing the case, instead of solving it. I won't be using them again.",refund_return
174,raises the prices randomly!! but i like the products so far,billing
175,Delivery time before Christmas would be appreciated because the items purchased is for a Christmas gift to someone special,delivery_shipping
176,"You make it very hard to give feedback on just today's experience. I should be able to respond on my order from today. only. I am a very loyal supporter. But today the person who shopped/packed my bags has no cooking clue how to pack groceries. The meat was spread over all 4 bags. My chicken snitchzels were squashed under 4 liters of cold drink. My mince was in the bage with potatoes and a loaf of bread, so needless to say my loaf of bread is squashed. Packers need to be pay attention.",delivery_shipping
177,checkers 60 60 use to be my go-to app. I'm so dissatisfied and disappointed for the last two weeks. my deliveries are delayed and the eta keeps changing. I needed groceries for a function the expected time of arrival at 8am but it's now 11.07 and nothing. paid for already so I cnt buy elsewhere.,delivery_shipping
178,The delivery of items is supposed to be in 60 minutes yet here in Mabopane when you try check out the only delivery slots available is for the next day. it defeats the whole purpose.,delivery_shipping
179,price will increase at checkout.,billing
181,"ordered at 10:44 , received my order at 15:05 bad service sana.",delivery_shipping
182,"Very disappointing experience with Glovo. I was charged the wrong amount for my order — the promised discount was not applied even though the order has already been delivered. I opened a support ticket 15 hours ago, and it is still marked as “in progress” with no resolution. I have also contacted support through the chat several times, but there has been no action or update at all. Please review this case and correct the charge as soon as possible. This kind of issue should not take this long",billing
183,I'm still requesting an option to remove the marketplace & local sellers. I am so tired of trying to meet a $30 minimum per seller. Every time I try to shop & check my cart then the the total items I'm trying to buy. Most of the time paying the shipping fee I can buy the thing on Amazon and get it in 2 days instead of 3 weeks. The savings from buying on Shein these days is almost not existent. I also stand by the fact that the coupons don't work anymore because everything is excluded.,general_inquiry
184,"Something is very off with the order tracking. Gives date but order doesn't arrive and when it does says it hasn't even gone out yet. With orders when I used app, only found out on delivery some items were unavailable or went missing. Pop up ads also distracting. I don't really see much of a reason to get app instead of just using website.",delivery_shipping
185,"The selection of items on the app works perfectly fine, and the communication from the app to you about items you are requesting works well. However, the attitude and disrespect from some of your drivers are absolutely shocking! When they call you, they shout at you when you are trying to explain that you are on your way they just want to leave your order anywhere and with anyone. This leads me to not want to use the app again with this to be the pure reason.",delivery_shipping
186,all good until deliveries hahaha cant track order and delivery date RARELY met,delivery_shipping
187,"poor customer service. my product that was ordered was delayed for a long time and there was no notification from jumia, I was the one that had to start contacting their customer service and they are giving me false hope. till now my product isn't here",delivery_shipping
188,Takealot please commit to your promise for same day delivery. 😤,delivery_shipping
189,When your FULLY PAYED order has missing items THEY WILL NEVER GIVE YOU A REFUND OR CORRECT YOUR ORDER customer service for cases like that is unreachable and inexistent. Download something else!,refund_return
190,both the underwear and dress are at least 2 sizes SMALLER than what I ordered !!! very disappointing,product_defect
191,"nice quality, great product selections. the games they play to award credits, free items, or cash backs feel like scams since you always have to buy ""one more item"" time after time, but if you're aware in advance, just skip those and order what you actually want, not simply because of a deal that sounds too good to be true.",general_inquiry
192,Was difficult to register and place order but eventually got it done. Will wait for delivery.,account_access
193,"I really like shopping on Temu, you can find practically anything to buy however some of the products are cheaply made and flimsy. 90% of the products I have purchased from Temu are brilliant, 10% is not unfortunately. My biggest gripe with Temu is your scamming people into continuously buying products so that "" you may have a chance to get back money or you get free gifts only if you shop every day on Temu. You don't get any of the free gifts as long as you buy from Temu every single day.",general_inquiry
194,Delivery is no longer 60 minutes...it has been over 2 hours for my last 2 orders.. a waste!,delivery_shipping
195,"I have 3 item I returned at several intervals as along as 3 years ago an I still haven't gotten mu refunds, even after so many calls",refund_return
196,Nice app. Would be even nicer if it would not suggest you order from certain restaurants minutes before they close for the day.,general_inquiry
197,"poor, never received everything I ordered",delivery_shipping
198,I love Shein! I love their styles that they have! what I don't like about Shein is how the prices change after you buy something. Sometimes it will change before you hit the buy button. Sometimes it will let you see the price and Sometimes you don't see when they changes the price. I've been shopping at Shine for the last 8 years. the last 4 to 5 years It's change. This makes it hard for me to purchase something. I just don't trust the final sale! maybe it's all the coupons! Who knows!,billing
199,"great app, very convenient. my only complaint would be that dont say your order has arrived and there is knowone outside and you still have to wait 5 mins for the driver to arrive. this happens almost every time here in paarl and its quite frustrating",delivery_shipping
200,"Great item, only problem was that there was a stick label on and could remove properly, left sticky mark on,not happy.",product_defect
201,"The service was fantastic at first, but lately every order is taking 75min+",delivery_shipping
202,"Refund my money and stop giving fake promises. It’s now been 8 days and I’m still waiting for the refund. You should allow customers to confirm and test the product before making payment at the pickup station. Otherwise, stop selling counterfeit products.",refund_return
204,Have had a very bad experience with killimall you sell fake electronics and your return/refund processes is Very slow why do you have that policy yet it's take centuries am Very disappointed i would not recommend any one to buy electronics especially phones,refund_return
205,They constantly send the wrong products. Not once or twice I've had to return one product multiple times just to in the end take a refund because they keep sending the wrong product. This has happend more that once.,refund_return
